x,Ch1_7
1.0,1538.0
126.0,65535.0
376.0,1504.0
1341.0,1478.0
1717.0,65535.0
1999.0,1440.0
2233.0,65525.0
2274.0,1358.0
6410.0,1407.0
8430.0,1390.0
8443.0,8864.0
9339.0,5504.0
9366.0,55913.0
9372.0,46456.0
9388.0,57160.0
9399.0,45822.0
9404.0,44846.0
9409.0,44169.0
9414.0,43457.0
9419.0,43180.0
9421.0,43506.0
9424.0,43195.0
9429.0,42963.0
9434.0,42833.0
9440.0,40968.0
9441.0,40638.0
9442.0,40621.0
9443.0,40664.0
9444.0,40595.0
9445.0,40761.0
9446.0,40836.0
9448.0,41112.0
9453.0,42070.0
9458.0,42897.0
9463.0,43714.0
9468.0,44265.0
9473.0,44562.0
9478.0,45228.0
9482.0,45623.0
9483.0,45259.0
9488.0,46040.0
9494.0,45827.0
9527.0,46856.0
9536.0,46256.0
9565.0,46627.0
9566.0,52127.0
9567.0,45464.0
9571.0,47673.0
9588.0,57268.0
9600.0,45804.0
9605.0,45009.0
9610.0,44350.0
9616.0,44089.0
9621.0,43880.0
9626.0,43569.0
9628.0,43767.0
9632.0,43569.0
9637.0,43049.0
9643.0,40929.0
9647.0,41133.0
9652.0,41927.0
9657.0,43017.0
9662.0,43874.0
9667.0,44598.0
9672.0,45389.0
9677.0,45597.0
9682.0,45923.0
9766.0,49171.0
9767.0,44994.0
9966.0,53642.0
9967.0,44815.0
9968.0,47848.0
9969.0,50336.0
9972.0,48234.0
9975.0,51366.0
9979.0,53434.0
9988.0,58247.0
9990.0,50880.0
9995.0,48855.0
10000.0,47618.0
10005.0,46634.0
10010.0,46406.0
10015.0,45776.0
10020.0,45584.0
10025.0,45529.0
10030.0,45194.0
10035.0,44828.0
10040.0,42313.0
10041.0,42265.0
10042.0,42229.0
10043.0,42272.0
10045.0,42313.0
10047.0,42638.0
10049.0,42961.0
10051.0,43119.0
10056.0,44261.0
10061.0,44975.0
10066.0,45383.0
10071.0,46250.0
10076.0,46543.0
10081.0,46829.0
10086.0,46973.0
10091.0,47307.0
10096.0,47143.0
10101.0,47532.0
10106.0,47582.0
10111.0,47673.0
10116.0,47513.0
10121.0,47682.0
10126.0,47551.0
10131.0,47831.0
10136.0,47610.0
10137.0,47941.0
10141.0,47605.0
10146.0,47869.0
10151.0,47605.0
10156.0,47925.0
10161.0,47874.0
10166.0,49885.0
10167.0,44947.0
10171.0,48355.0
10177.0,52285.0
10188.0,58575.0
10190.0,50192.0
10195.0,49347.0
10200.0,47749.0
10205.0,47053.0
10210.0,46774.0
10215.0,46264.0
10220.0,45988.0
10225.0,45781.0
10230.0,45535.0
10235.0,45306.0
10240.0,42599.0
10241.0,42394.0
10243.0,42373.0
10245.0,42295.0
10246.0,42525.0
10248.0,42802.0
10250.0,43371.0
10255.0,44168.0
10260.0,44893.0
10265.0,45648.0
10270.0,46320.0
10275.0,46291.0
10280.0,46861.0
10285.0,47202.0
10290.0,47164.0
10295.0,47287.0
10300.0,47655.0
10305.0,47708.0
10310.0,47778.0
10316.0,47746.0
10321.0,47631.0
10326.0,47851.0
10331.0,47770.0
10336.0,47960.0
10337.0,47675.0
10341.0,47972.0
10344.0,47678.0
10346.0,47970.0
10351.0,47657.0
10356.0,48035.0
10361.0,47822.0
10366.0,50124.0
10367.0,44668.0
10371.0,48333.0
10377.0,52064.0
10388.0,58990.0
10390.0,50280.0
10395.0,49234.0
10400.0,48090.0
10405.0,47406.0
10410.0,47013.0
10415.0,46436.0
10420.0,46049.0
10423.0,45708.0
10425.0,46056.0
10430.0,45552.0
10432.0,45189.0
10435.0,45530.0
10440.0,42856.0
10441.0,42478.0
10443.0,42321.0
10445.0,42421.0
10446.0,42597.0
10448.0,42863.0
10450.0,43407.0
10455.0,44147.0
10460.0,45092.0
10465.0,45685.0
10470.0,46461.0
10475.0,46625.0
10480.0,46857.0
10485.0,47111.0
10490.0,47320.0
10496.0,47412.0
10501.0,47110.0
10506.0,47555.0
10511.0,47604.0
10516.0,47528.0
10521.0,47755.0
10524.0,47581.0
10526.0,47748.0
10531.0,47592.0
10537.0,47749.0
10542.0,47904.0
10547.0,47780.0
10552.0,47705.0
10557.0,47531.0
10562.0,47855.0
10567.0,44649.0
10572.0,48685.0
10578.0,51876.0
10588.0,59139.0
10643.0,42176.0
10788.0,59049.0
10966.0,51710.0
10967.0,44552.0
10968.0,47424.0
10969.0,50031.0
10972.0,48386.0
10975.0,49808.0
10979.0,51984.0
10988.0,58920.0
11041.0,42071.0
11188.0,58988.0
11190.0,49915.0
11195.0,49304.0
11200.0,47663.0
11205.0,47089.0
11210.0,46553.0
11215.0,46311.0
11220.0,45935.0
11225.0,45584.0
11230.0,45405.0
11235.0,45128.0
11240.0,42669.0
11241.0,42425.0
11243.0,42336.0
11245.0,42354.0
11246.0,42809.0
11247.0,42328.0
11248.0,42804.0
11250.0,43294.0
11254.0,44048.0
11259.0,44832.0
11264.0,45514.0
11269.0,45924.0
11274.0,46469.0
11279.0,46634.0
11284.0,46865.0
11289.0,47143.0
11294.0,47283.0
11299.0,47346.0
11304.0,47504.0
11309.0,47487.0
11314.0,47285.0
11319.0,47745.0
11324.0,47473.0
11327.0,47782.0
11329.0,47497.0
11333.0,47748.0
11334.0,47510.0
11339.0,47382.0
11344.0,47599.0
11349.0,47548.0
11354.0,47633.0
11359.0,47283.0
11364.0,47577.0
11367.0,44457.0
11369.0,49391.0
11374.0,48618.0
11379.0,51549.0
11388.0,59028.0
11442.0,42004.0
11588.0,58967.0
11645.0,42140.0
11788.0,58702.0
11791.0,50280.0
11795.0,49315.0
11800.0,48164.0
11805.0,47315.0
11810.0,46727.0
11815.0,46011.0
11816.0,45621.0
11820.0,45981.0
11825.0,45757.0
11830.0,45518.0
11835.0,45341.0
11840.0,42549.0
11841.0,42398.0
11843.0,41969.0
11844.0,42123.0
11846.0,42206.0
11847.0,42508.0
11849.0,43140.0
11854.0,44178.0
11859.0,44706.0
11864.0,45483.0
11869.0,46105.0
11874.0,46355.0
11879.0,46852.0
11884.0,46679.0
11889.0,47057.0
11894.0,47184.0
11899.0,47352.0
11904.0,47508.0
11909.0,47453.0
11914.0,47275.0
11919.0,47483.0
11924.0,47638.0
11929.0,47786.0
11934.0,47492.0
11939.0,47678.0
11944.0,47719.0
11949.0,47263.0
11954.0,47342.0
11959.0,47751.0
11964.0,47484.0
11967.0,44710.0
11969.0,48902.0
11974.0,48512.0
11979.0,51450.0
11990.0,58705.0
11993.0,50109.0
11997.0,48948.0
12002.0,47737.0
12007.0,47013.0
12012.0,46369.0
12017.0,45938.0
12022.0,45731.0
12027.0,45694.0
12032.0,45089.0
12037.0,45028.0
12042.0,42217.0
12043.0,41994.0
12045.0,41497.0
12046.0,41771.0
12048.0,42074.0
12049.0,42404.0
12051.0,42768.0
12056.0,43623.0
12061.0,44631.0
12066.0,45061.0
12071.0,46028.0
12076.0,46163.0
12081.0,46426.0
12086.0,46543.0
12091.0,46857.0
12096.0,46922.0
12097.0,46801.0
12101.0,46925.0
12106.0,47122.0
12109.0,46930.0
12111.0,47122.0
12116.0,47182.0
12121.0,47285.0
12126.0,47245.0
12131.0,47381.0
12136.0,47047.0
12141.0,47181.0
12146.0,47043.0
12151.0,47250.0
12156.0,46988.0
12161.0,47143.0
12166.0,47102.0
12169.0,44322.0
12171.0,48771.0
12176.0,48301.0
12182.0,51353.0
12190.0,58363.0
12193.0,49983.0
12197.0,48736.0
12202.0,47674.0
12207.0,47210.0
12212.0,46565.0
12217.0,45941.0
12222.0,46000.0
12227.0,45513.0
12232.0,45337.0
12237.0,45216.0
12242.0,42079.0
12243.0,41941.0
12244.0,41822.0
12245.0,41624.0
12246.0,42001.0
12247.0,42213.0
12248.0,42002.0
12249.0,42310.0
12251.0,42656.0
12256.0,43544.0
12261.0,44488.0
12266.0,45126.0
12271.0,45540.0
12276.0,46396.0
12281.0,46142.0
12286.0,46458.0
12291.0,46872.0
12296.0,46897.0
12301.0,46952.0
12306.0,47149.0
12311.0,46921.0
12316.0,46863.0
12321.0,47145.0
12326.0,47032.0
12331.0,46854.0
12336.0,47208.0
12338.0,46893.0
12341.0,47216.0
12344.0,47102.0
12346.0,47213.0
12351.0,47291.0
12356.0,46973.0
12361.0,46888.0
12366.0,47004.0
12369.0,44506.0
12371.0,48635.0
12376.0,48021.0
12382.0,51219.0
12390.0,58927.0
12568.0,51039.0
12569.0,44398.0
12570.0,47115.0
12571.0,48868.0
12575.0,47165.0
12579.0,49769.0
12583.0,51571.0
12590.0,58838.0
12643.0,41412.0
12790.0,58859.0
12846.0,41553.0
12990.0,58700.0
13044.0,41426.0
13190.0,58440.0
13246.0,41259.0
13390.0,58665.0
13444.0,41035.0
13590.0,58651.0
13768.0,51828.0
13769.0,44734.0
13772.0,47982.0
13773.0,46941.0
13774.0,46104.0
13775.0,45687.0
13778.0,47473.0
13781.0,49667.0
13784.0,51007.0
13790.0,58383.0
13968.0,50067.0
13969.0,44373.0
13973.0,47306.0
13974.0,46043.0
13975.0,45693.0
13976.0,45828.0
13978.0,47030.0
13980.0,48641.0
13983.0,50255.0
13990.0,58753.0
14044.0,40722.0
14190.0,58454.0
14243.0,40765.0
14390.0,58536.0
14568.0,50004.0
14569.0,44220.0
14574.0,46082.0
14575.0,45846.0
14576.0,45798.0
14578.0,46743.0
14580.0,48444.0
14583.0,50290.0
14590.0,58185.0
14772.0,48870.0
14773.0,47560.0
14774.0,45967.0
14775.0,45686.0
14776.0,45651.0
14778.0,46869.0
14781.0,49065.0
14784.0,50721.0
14792.0,58614.0
14811.0,45764.0
14816.0,45088.0
14822.0,44826.0
14827.0,44789.0
14833.0,44299.0
14834.0,44663.0
14838.0,44322.0
14844.0,40988.0
14845.0,40881.0
14846.0,40909.0
14847.0,41092.0
14848.0,41226.0
14849.0,41468.0
14854.0,42540.0
14860.0,44063.0
14866.0,44885.0
14872.0,45791.0
14970.0,47859.0
14971.0,43967.0
14973.0,48991.0
14975.0,47359.0
14976.0,46210.0
14977.0,45684.0
14978.0,45862.0
14980.0,46928.0
14983.0,49156.0
14986.0,50887.0
14992.0,57962.0
15044.0,40693.0
15189.0,52486.0
15192.0,56978.0
15288.0,46448.0
15370.0,50157.0
15371.0,43583.0
15373.0,50089.0
15375.0,47429.0
15376.0,46011.0
15377.0,45937.0
15380.0,47685.0
15383.0,50030.0
15386.0,51393.0
15392.0,56514.0
15407.0,45970.0
15412.0,44691.0
15417.0,44372.0
15422.0,44469.0
15427.0,44127.0
15428.0,44476.0
15433.0,44220.0
15438.0,43880.0
15444.0,40833.0
15445.0,40642.0
15446.0,40628.0
15447.0,40757.0
15448.0,41131.0
15453.0,42452.0
15459.0,43617.0
15464.0,44432.0
15470.0,45176.0
15476.0,45830.0
15510.0,47319.0
15512.0,46625.0
15516.0,47176.0
15529.0,46618.0
15568.0,47032.0
15571.0,43604.0
15573.0,50137.0
15575.0,47718.0
15576.0,46296.0
15577.0,45628.0
15580.0,47765.0
15583.0,49992.0
15587.0,51649.0
15592.0,56410.0
15607.0,45728.0
15612.0,44781.0
15617.0,44483.0
15622.0,44417.0
15628.0,44453.0
15633.0,44222.0
15638.0,43925.0
15644.0,40697.0
15645.0,40632.0
15646.0,40733.0
15647.0,40624.0
15648.0,41224.0
15649.0,41249.0
15654.0,42405.0
15659.0,43600.0
15664.0,44510.0
15669.0,44989.0
15674.0,45588.0
15702.0,47016.0
15723.0,46575.0
15747.0,47200.0
15769.0,46539.0
15770.0,48572.0
15771.0,43109.0
15773.0,50187.0
15775.0,47162.0
15776.0,45602.0
15777.0,45848.0
15780.0,47747.0
15783.0,50105.0
15786.0,51869.0
15792.0,55889.0
15806.0,45961.0
15811.0,45144.0
15816.0,44588.0
15821.0,44496.0
15827.0,44367.0
15832.0,44335.0
15837.0,43817.0
15843.0,41003.0
15844.0,40623.0
15845.0,40592.0
15846.0,40767.0
15847.0,40961.0
15848.0,41272.0
15849.0,41251.0
15854.0,42112.0
15859.0,43578.0
15865.0,44696.0
15870.0,45344.0
15876.0,45595.0
15913.0,47148.0
15915.0,46572.0
15919.0,47204.0
15926.0,46588.0
15965.0,46936.0
15971.0,43420.0
15973.0,50330.0
15975.0,47270.0
15976.0,46077.0
15977.0,45474.0
15981.0,48741.0
15985.0,51622.0
15989.0,52833.0
15992.0,55931.0
16006.0,45806.0
16011.0,44619.0
16016.0,44557.0
16022.0,44298.0
16027.0,44380.0
16033.0,44085.0
