x,Ch1_7
1.0,1538.0
126.0,65535.0
436.0,1481.0
1341.0,1478.0
1342.0,65535.0
1737.0,1468.0
2233.0,65525.0
2274.0,1358.0
8430.0,1390.0
8443.0,8864.0
9328.0,5425.0
9388.0,57160.0
9641.0,40733.0
9788.0,57611.0
9840.0,41669.0
9988.0,58247.0
10567.0,44649.0
10588.0,59139.0
10643.0,42176.0
10788.0,59049.0
11041.0,42071.0
11188.0,58988.0
11442.0,42004.0
11588.0,58967.0
12045.0,41497.0
12390.0,58927.0
12643.0,41412.0
12790.0,58859.0
12846.0,41553.0
12990.0,58700.0
13644.0,40704.0
13790.0,58383.0
13843.0,40672.0
13990.0,58753.0
14044.0,40722.0
14190.0,58454.0
14243.0,40765.0
14390.0,58536.0
14443.0,40823.0
14590.0,58185.0
14643.0,40751.0
14792.0,58614.0
14845.0,40881.0
14992.0,57962.0
15045.0,40691.0
15192.0,56978.0
15245.0,40757.0
15392.0,56514.0
15446.0,40628.0
15592.0,56410.0
15647.0,40624.0
15792.0,55889.0
16045.0,40062.0
16192.0,55609.0
16244.0,40555.0
16392.0,55837.0
16444.0,40259.0
16592.0,55108.0
16645.0,40336.0
16792.0,55141.0
16845.0,40494.0
16992.0,55341.0
17044.0,40223.0
17592.0,53305.0
17649.0,1378.0
18287.0,53773.0
18351.0,1385.0
18461.0,53947.0
18480.0,1405.0
18635.0,53901.0
18653.0,1402.0
18809.0,53717.0
18827.0,1400.0
18983.0,53657.0
19569.0,1429.0
19640.0,58802.0
19920.0,1412.0
19988.0,59609.0
20043.0,1378.0
20162.0,59684.0
20221.0,1383.0
20336.0,58289.0
20418.0,1378.0
20684.0,58624.0
20759.0,1365.0
21032.0,58926.0
21110.0,1360.0
21380.0,59007.0
21443.0,1381.0
21554.0,58920.0
21628.0,1379.0
21902.0,59255.0
21971.0,1384.0
22250.0,59207.0
22349.0,1360.0
22424.0,59046.0
22501.0,1377.0
22598.0,59227.0
22683.0,1365.0
22946.0,59219.0
23014.0,1373.0
23120.0,58749.0
23213.0,1381.0
23294.0,58675.0
23365.0,1380.0
23642.0,58563.0
23718.0,1371.0
23816.0,58478.0
23919.0,1366.0
23990.0,58195.0
24076.0,1373.0
24338.0,58351.0
24408.0,1377.0
24512.0,58131.0
24611.0,1364.0
24860.0,57976.0
24947.0,1369.0
25034.0,57788.0
25096.0,1370.0
25208.0,57594.0
25302.0,1372.0
25382.0,57785.0
25457.0,1374.0
26008.0,58280.0
26145.0,1375.0
26251.0,57631.0
26317.0,1377.0
26773.0,57944.0
27399.0,1399.0
27400.0,58692.0
27535.0,1377.0
28100.0,59507.0
28233.0,1378.0
28342.0,58548.0
28427.0,1368.0
28690.0,58746.0
28755.0,1380.0
28864.0,58680.0
28928.0,1373.0
29037.0,58766.0
29128.0,1356.0
29316.0,59087.0
29453.0,1371.0
29559.0,59158.0
29635.0,1371.0
29733.0,59249.0
29804.0,1368.0
29907.0,59471.0
29978.0,1362.0
30255.0,59844.0
30320.0,1366.0
30603.0,59967.0
30683.0,1366.0
30776.0,60108.0
30862.0,1367.0
31298.0,60361.0
31372.0,1372.0
31646.0,60534.0
31710.0,1364.0
31994.0,60879.0
32090.0,1359.0
32168.0,60924.0
32258.0,1363.0
32341.0,60870.0
32409.0,1367.0
32515.0,60776.0
32578.0,1384.0
32863.0,61151.0
32940.0,1371.0
33211.0,61548.0
33277.0,1363.0
33385.0,61348.0
33449.0,1369.0
33733.0,61485.0
33798.0,1373.0
34081.0,61216.0
34167.0,1368.0
34255.0,61306.0
34327.0,1355.0
34429.0,61391.0
34498.0,1363.0
34603.0,61486.0
34680.0,1364.0
34777.0,61331.0
34852.0,1376.0
34951.0,61550.0
35024.0,1376.0
35125.0,61227.0
35185.0,1358.0
35298.0,60736.0
35360.0,1370.0
35472.0,60982.0
35550.0,1363.0
35646.0,61217.0
35738.0,1361.0
35820.0,61340.0
35889.0,1373.0
35994.0,61020.0
36074.0,1367.0
36168.0,61224.0
36231.0,1379.0
36342.0,60929.0
36404.0,1380.0
36516.0,60998.0
36579.0,1382.0
36690.0,61026.0
36752.0,1390.0
36864.0,61098.0
36924.0,1365.0
37038.0,61295.0
37109.0,1373.0
37211.0,61523.0
37280.0,1376.0
37420.0,61188.0
37448.0,1377.0
37559.0,61401.0
37652.0,1359.0
37768.0,61108.0
37794.0,1377.0
37907.0,61281.0
37981.0,1361.0
38116.0,61147.0
38145.0,1367.0
38464.0,61585.0
38491.0,1368.0
38640.0,61528.0
38667.0,1372.0
38814.0,61496.0
38869.0,1360.0
38988.0,61359.0
39012.0,1370.0
39127.0,61034.0
39185.0,1366.0
39336.0,61303.0
39361.0,1365.0
39510.0,61359.0
39540.0,1367.0
39684.0,61097.0
39716.0,1359.0
39858.0,61419.0
39889.0,1374.0
40032.0,61733.0
40056.0,1371.0
40380.0,61428.0
40418.0,1363.0
40554.0,61401.0
40580.0,1385.0
41076.0,62060.0
41722.0,1390.0
41737.0,62202.0
42090.0,1397.0
42091.0,64194.0
42142.0,1377.0
42468.0,61424.0
42496.0,1373.0
42642.0,61038.0
42667.0,1365.0
42816.0,61275.0
42842.0,1380.0
42990.0,61476.0
43015.0,1383.0
43164.0,61536.0
43187.0,1352.0
43338.0,61818.0
43367.0,1361.0
43512.0,61762.0
43535.0,1366.0
43686.0,61517.0
43726.0,1357.0
43860.0,61337.0
43889.0,1374.0
44034.0,61385.0
44061.0,1378.0
44382.0,62160.0
44431.0,1352.0
44556.0,61925.0
44589.0,1365.0
44730.0,62069.0
44752.0,1384.0
45078.0,61902.0
45099.0,1393.0
45600.0,61816.0
45767.0,1430.0
45774.0,63825.0
45790.0,1370.0
46091.0,64467.0
46139.0,1378.0
46296.0,61785.0
46318.0,1381.0
46470.0,61435.0
46492.0,1371.0
46818.0,62080.0
46847.0,1361.0
46992.0,62136.0
47021.0,1367.0
48821.0,1411.0
48906.0,61569.0
49620.0,24584.0
50186.0,51905.0
50262.0,24451.0
50267.0,52020.0
50283.0,24614.0
50286.0,52247.0
50361.0,24372.0
50366.0,52361.0
50501.0,24218.0
50506.0,52712.0
50620.0,24478.0
50627.0,52798.0
50642.0,24643.0
50646.0,52841.0
50762.0,24706.0
50767.0,53062.0
50923.0,24741.0
50929.0,53358.0
51042.0,24802.0
51049.0,53491.0
51083.0,24709.0
51089.0,53663.0
51104.0,24852.0
51108.0,53726.0
51144.0,24798.0
51148.0,53773.0
51166.0,24904.0
51169.0,53825.0
51244.0,24852.0
51248.0,54145.0
51424.0,25223.0
51428.0,54490.0
51484.0,25269.0
51488.0,54592.0
51525.0,25173.0
51528.0,54735.0
51682.0,25382.0
51688.0,55307.0
52102.0,25821.0
52109.0,55756.0
52244.0,25966.0
52249.0,55942.0
52406.0,26118.0
52410.0,56227.0
52644.0,26491.0
52651.0,56376.0
52664.0,26361.0
52670.0,56391.0
52685.0,26415.0
52691.0,56520.0
52706.0,26541.0
52710.0,56689.0
52827.0,26459.0
52850.0,56835.0
52867.0,26600.0
52870.0,57136.0
53003.0,26738.0
53010.0,57304.0
53043.0,26640.0
53050.0,57523.0
53147.0,26882.0
53151.0,57741.0
53226.0,26787.0
53471.0,58144.0
53487.0,27095.0
53530.0,58149.0
53544.0,27224.0
53710.0,58401.0
53726.0,27129.0
53770.0,58172.0
53784.0,27177.0
53791.0,58098.0
53807.0,27181.0
54282.0,58940.0
54316.0,29686.0
54362.0,58609.0
54417.0,29553.0
54802.0,59354.0
54815.0,29993.0
54982.0,59507.0
54997.0,29961.0
55242.0,59705.0
55259.0,29850.0
55302.0,59755.0
55358.0,29796.0
55383.0,59446.0
55398.0,29860.0
55423.0,59466.0
55437.0,29976.0
55743.0,60023.0
55779.0,29958.0
55903.0,59931.0
55917.0,29916.0
55923.0,59818.0
55959.0,29818.0
56242.0,60439.0
56276.0,29972.0
56402.0,60311.0
56418.0,30062.0
56482.0,60328.0
56496.0,30060.0
56542.0,60172.0
56557.0,29989.0
56622.0,60270.0
56694.0,30025.0
56722.0,60377.0
56737.0,30004.0
56762.0,60444.0
56775.0,30061.0
56882.0,60618.0
56896.0,30074.0
57022.0,60829.0
57035.0,30187.0
57042.0,60663.0
57095.0,29993.0
57102.0,60743.0
57115.0,30213.0
57162.0,60612.0
57198.0,29966.0
57262.0,60801.0
57406.0,29251.0
58720.0,43740.0
59895.0,45619.0
62015.0,43008.0
