event_id,direction,start_idx,end_idx,start_x,end_x,start_y,end_y,duration,delta_y,max_abs_slope
1295,up,45560,45566,45561.0,45567.0,31760.0,58370.0,6,26610.0,5538.400000000004
1296,down,45566,45597,45567.0,45598.0,58370.0,40935.0,31,-17435.0,4025.8000000000056
1297,up,45597,45602,45598.0,45603.0,40935.0,45224.0,5,4289.0,3355.8
1298,down,45602,45623,45603.0,45624.0,45224.0,1410.0,21,-43814.0,7443.199999999998
1299,up,45764,45776,45765.0,45777.0,1374.0,53060.0,12,51686.0,10840.000000000002
1300,down,45776,45792,45777.0,45793.0,53060.0,1413.0,16,-51647.0,7974.999999999997
1301,up,45853,45859,45854.0,45860.0,1375.0,48754.0,6,47379.0,11324.400000000001
1302,down,45859,45878,45860.0,45879.0,48754.0,45420.0,19,-3334.0,631.6000000000029
1303,down,45899,45908,45900.0,45909.0,44953.0,33213.0,9,-11740.0,1974.2000000000014
1304,up,45908,45914,45909.0,45915.0,33213.0,57088.0,6,23875.0,5155.600000000001
1305,down,45914,45944,45915.0,45945.0,57088.0,41642.0,30,-15446.0,985.999999999997
1306,up,45944,45950,45945.0,45951.0,41642.0,45990.0,6,4348.0,3896.599999999994
1307,down,45950,45969,45951.0,45970.0,45990.0,1416.0,19,-44574.0,7557.400000000001
1308,up,46087,46093,46088.0,46094.0,1403.0,57956.0,6,56553.0,12612.000000000004
1309,down,46093,46113,46094.0,46114.0,57956.0,45823.0,20,-12133.0,1513.8
1310,up,46113,46124,46114.0,46125.0,45823.0,48435.0,11,2612.0,3299.9999999999973
1311,down,46124,46141,46125.0,46142.0,48435.0,1394.0,17,-47041.0,7556.200000000002
1312,up,46192,46198,46193.0,46199.0,1394.0,47283.0,6,45889.0,10098.2
1313,down,46198,46215,46199.0,46216.0,47283.0,44856.0,17,-2427.0,421.2000000000014
1314,down,46245,46256,46246.0,46257.0,44184.0,32401.0,11,-11783.0,1967.8000000000072
1315,up,46256,46262,46257.0,46263.0,32401.0,56544.0,6,24143.0,5116.800000000006
1316,down,46262,46293,46263.0,46294.0,56544.0,41121.0,31,-15423.0,4066.6000000000013
1317,up,46293,46298,46294.0,46299.0,41121.0,45105.0,5,3984.0,3501.9999999999973
1318,down,46298,46317,46299.0,46318.0,45105.0,1381.0,19,-43724.0,7558.799999999998
1319,up,46383,46389,46384.0,46390.0,1418.0,47859.0,6,46441.0,10939.2
1320,down,46389,46405,46390.0,46406.0,47859.0,44919.0,16,-2940.0,707.2000000000014
1321,down,46419,46430,46420.0,46431.0,44600.0,32495.0,11,-12105.0,2134.2000000000016
1322,up,46430,46436,46431.0,46437.0,32495.0,56953.0,6,24458.0,5290.000000000003
1323,down,46436,46467,46437.0,46468.0,56953.0,41425.0,31,-15528.0,4011.9999999999955
1324,up,46467,46472,46468.0,46473.0,41425.0,45320.0,5,3895.0,3353.9999999999973
1325,down,46472,46491,46473.0,46492.0,45320.0,1371.0,19,-43949.0,7471.999999999999
1326,up,46539,46545,46540.0,46546.0,1404.0,48141.0,6,46737.0,10260.400000000001
1327,down,46545,46560,46546.0,46561.0,48141.0,45042.0,15,-3099.0,551.7999999999927
1328,down,46593,46604,46594.0,46605.0,44230.0,32232.0,11,-11998.0,1840.2000000000014
1329,up,46604,46610,46605.0,46611.0,32232.0,57036.0,6,24804.0,5252.799999999998
1330,down,46610,46641,46611.0,46642.0,57036.0,40907.0,31,-16129.0,4040.7999999999984
1331,up,46641,46646,46642.0,46647.0,40907.0,44833.0,5,3926.0,3427.3999999999987
1332,down,46646,46666,46647.0,46667.0,44833.0,1394.0,20,-43439.0,7487.200000000002
1333,up,46713,46719,46714.0,46720.0,1425.0,47865.0,6,46440.0,10522.200000000003
1334,down,46719,46735,46720.0,46736.0,47865.0,45117.0,16,-2748.0,694.2000000000014
1335,down,46767,46778,46768.0,46779.0,44640.0,32928.0,11,-11712.0,1821.999999999997
1336,up,46778,46785,46779.0,46786.0,32928.0,56553.0,7,23625.0,5257.599999999994
1337,down,46785,46815,46786.0,46816.0,56553.0,40803.0,30,-15750.0,4101.799999999998
1338,up,46815,46820,46816.0,46821.0,40803.0,44893.0,5,4090.0,3494.9999999999973
1339,down,46820,46840,46821.0,46841.0,44893.0,1388.0,20,-43505.0,7576.000000000001
1340,up,46923,46929,46924.0,46930.0,1394.0,48259.0,6,46865.0,10958.200000000003
1341,down,46929,46952,46930.0,46953.0,48259.0,33466.0,23,-14793.0,2225.600000000003
1342,up,46952,46958,46953.0,46959.0,33466.0,58094.0,6,24628.0,5188.400000000004
1343,down,46958,46989,46959.0,46990.0,58094.0,41260.0,31,-16834.0,4003.6000000000013
1344,up,46989,46994,46990.0,46995.0,41260.0,45488.0,5,4228.0,3472.600000000003
1345,down,46994,47013,46995.0,47014.0,45488.0,1377.0,19,-44111.0,7504.200000000007
1346,up,48818,48847,48819.0,48848.0,1375.0,53078.0,29,51703.0,11788.400000000001
