x,Ch1_11,is_cusum_turning,is_steep_endpoint
1.0,1683.0,0,0
3.0,1695.0,1,0
123.0,1704.0,1,1
128.0,38295.0,1,1
138.0,38377.0,1,0
153.0,38532.0,1,1
158.0,32558.0,1,0
159.0,32462.0,0,1
172.0,32979.0,0,1
173.0,33027.0,1,0
179.0,28158.0,0,1
187.0,28054.0,0,1
188.0,28307.0,1,0
197.0,21830.0,0,1
235.0,21451.0,0,1
242.0,31999.0,1,0
245.0,32726.0,0,1
246.0,32884.0,1,1
257.0,14810.0,1,0
261.0,14576.0,0,1
265.0,14622.0,1,0
373.0,13734.0,1,1
378.0,1697.0,0,1
1339.0,1654.0,0,1
1344.0,38062.0,1,0
1345.0,38635.0,0,1
1346.0,39358.0,1,1
1350.0,29242.0,1,0
1361.0,23541.0,0,1
1368.0,23388.0,1,1
1378.0,36007.0,0,1
1385.0,35624.0,0,1
1386.0,36001.0,1,0
1396.0,22659.0,0,1
1429.0,22385.0,1,0
1448.0,22449.0,1,1
1454.0,17781.0,1,0
1460.0,14876.0,0,1
1484.0,14763.0,0,1
1489.0,29369.0,1,0
1493.0,29555.0,0,1
1501.0,29325.0,1,0
1509.0,29469.0,1,0
1535.0,29466.0,1,0
1539.0,29430.0,1,0
1586.0,29444.0,1,0
1610.0,29452.0,1,0
1630.0,29626.0,0,1
1631.0,29700.0,1,0
1637.0,23764.0,0,1
1638.0,23817.0,1,1
1643.0,29640.0,1,0
1647.0,29677.0,0,1
1650.0,29648.0,0,1
1659.0,19047.0,1,1
1661.0,19284.0,0,1
1667.0,20709.0,0,1
1677.0,20604.0,1,1
1685.0,22240.0,0,1
1714.0,22332.0,0,1
1716.0,22225.0,1,0
1721.0,3552.0,1,0
1729.0,1688.0,0,1
2013.0,1640.0,0,1
2018.0,14304.0,1,1
2232.0,12781.0,0,1
2237.0,3213.0,1,0
2240.0,2344.0,0,1
2276.0,1575.0,1,0
8434.0,1584.0,1,1
8439.0,3257.0,1,0
8445.0,5745.0,1,0
