x,Ch1_1
1.0,1582.0
151.0,4446.0
412.0,1555.0
1338.0,1539.0
1346.0,4033.0
1461.0,1989.0
1651.0,3155.0
1728.0,1552.0
2234.0,1972.0
2274.0,1434.0
8444.0,1424.0
9345.0,1903.0
9366.0,1372.0
9585.0,2045.0
9766.0,1400.0
9783.0,2077.0
9966.0,1394.0
10187.0,2130.0
10366.0,1415.0
10388.0,2165.0
10566.0,1478.0
10582.0,2137.0
10766.0,1476.0
10954.0,2056.0
10966.0,1413.0
11171.0,2217.0
11366.0,1455.0
11372.0,2229.0
11566.0,1464.0
11587.0,2314.0
11766.0,1612.0
11972.0,2319.0
12168.0,1481.0
12173.0,2321.0
12368.0,1474.0
12375.0,2387.0
12568.0,1438.0
12573.0,2395.0
12968.0,1482.0
12973.0,2367.0
13168.0,1549.0
13373.0,2464.0
13768.0,1395.0
13974.0,2465.0
14168.0,1488.0
14174.0,2448.0
14568.0,1439.0
14575.0,2444.0
14970.0,1498.0
15177.0,2421.0
15370.0,1426.0
15376.0,2366.0
15570.0,1560.0
15762.0,2163.0
15770.0,1434.0
15975.0,2435.0
16370.0,1448.0
16375.0,2507.0
16570.0,1426.0
16575.0,2401.0
16970.0,1430.0
16975.0,2375.0
17170.0,1644.0
17359.0,2165.0
17370.0,1421.0
17598.0,2647.0
17646.0,1428.0
17945.0,2565.0
18171.0,1438.0
18294.0,3416.0
18306.0,1431.0
18468.0,3323.0
18632.0,1670.0
18642.0,3384.0
18662.0,1425.0
18816.0,3451.0
18850.0,1422.0
18990.0,3575.0
19038.0,1425.0
19164.0,3611.0
19173.0,1446.0
19511.0,3079.0
19555.0,1420.0
19685.0,4433.0
19726.0,1426.0
19859.0,5597.0
19914.0,1430.0
20033.0,7301.0
20092.0,1431.0
20207.0,8505.0
20242.0,1436.0
20381.0,8930.0
20424.0,1424.0
20555.0,9119.0
20614.0,1435.0
20729.0,9536.0
20762.0,1428.0
20903.0,9792.0
20933.0,1432.0
21077.0,10145.0
21131.0,1428.0
21251.0,10315.0
21310.0,1435.0
21425.0,10379.0
21471.0,1437.0
21599.0,10612.0
21655.0,1435.0
21773.0,10643.0
21799.0,1419.0
21902.0,10893.0
21998.0,1426.0
22076.0,11052.0
22178.0,1437.0
22250.0,11288.0
22349.0,1444.0
22424.0,11581.0
22525.0,1440.0
22598.0,11696.0
22693.0,1436.0
22772.0,11880.0
22872.0,1440.0
22946.0,12028.0
23035.0,1428.0
23120.0,12280.0
23213.0,1428.0
23294.0,12541.0
23570.0,1439.0
23642.0,12731.0
23748.0,1421.0
23816.0,12798.0
23920.0,1430.0
23990.0,12805.0
24079.0,1418.0
24164.0,13303.0
24227.0,1461.0
24338.0,13236.0
24615.0,1428.0
24686.0,13354.0
24789.0,1429.0
24860.0,13596.0
24954.0,1429.0
25034.0,13631.0
25135.0,1431.0
25208.0,13892.0
25310.0,1426.0
25382.0,13961.0
25484.0,1434.0
25555.0,14088.0
25831.0,1424.0
25903.0,14424.0
26004.0,1424.0
26077.0,14512.0
26177.0,1431.0
26251.0,14741.0
26350.0,1438.0
26425.0,14886.0
26693.0,1435.0
26773.0,15178.0
26835.0,1445.0
27121.0,15015.0
27225.0,1444.0
27295.0,15116.0
27387.0,1431.0
27469.0,15448.0
27563.0,1420.0
27643.0,15696.0
27737.0,1432.0
27817.0,15872.0
28069.0,1434.0
28167.0,16030.0
28271.0,1426.0
28341.0,16231.0
28597.0,1421.0
28689.0,16533.0
28790.0,1426.0
28863.0,16552.0
29139.0,1424.0
29210.0,16821.0
29309.0,1432.0
29384.0,16970.0
29662.0,1432.0
29732.0,17051.0
29819.0,1418.0
29906.0,17089.0
30009.0,1417.0
