x,Ch1_7,is_cusum_turning,is_steep_endpoint
1.0,1538.0,0,0
3.0,1513.0,1,0
123.0,1543.0,0,1
128.0,65535.0,1,1
252.0,65535.0,1,1
259.0,53080.0,0,1
275.0,52332.0,1,0
303.0,51042.0,1,0
373.0,49735.0,1,1
378.0,1523.0,0,1
1339.0,1490.0,0,1
1344.0,65535.0,1,1
1449.0,65535.0,0,1
1458.0,52507.0,1,0
1461.0,52576.0,0,1
1484.0,51851.0,1,1
1489.0,65535.0,0,1
1715.0,65535.0,0,1
1716.0,65535.0,1,0
1721.0,11565.0,1,0
1729.0,1508.0,0,1
2013.0,1516.0,1,1
2018.0,56157.0,0,1
2232.0,55224.0,0,1
2239.0,4093.0,1,0
2240.0,5003.0,0,1
2242.0,5099.0,1,1
2247.0,3002.0,1,0
2251.0,2898.0,0,1
2271.0,2730.0,1,1
2276.0,1430.0,0,1
8434.0,1424.0,1,1
8441.0,8702.0,0,1
9338.0,5524.0,1,1
9343.0,28478.0,1,0
9364.0,46244.0,1,0
9366.0,55913.0,0,1
9368.0,46842.0,1,0
9372.0,46456.0,0,1
9386.0,55468.0,0,1
9387.0,54713.0,1,0
9388.0,57160.0,0,1
9392.0,48942.0,1,0
9397.0,46799.0,1,0
9414.0,43457.0,0,1
9418.0,43425.0,1,0
9436.0,42704.0,0,1
9440.0,40968.0,1,0
9446.0,40836.0,0,1
9454.0,42087.0,1,0
9476.0,45340.0,1,0
9478.0,45228.0,1,0
9486.0,45694.0,1,0
9569.0,48886.0,1,0
9572.0,48305.0,0,1
9587.0,55428.0,1,1
9588.0,57268.0,0,1
9592.0,48854.0,1,0
9601.0,45899.0,1,0
9610.0,44350.0,0,1
9635.0,43419.0,0,1
9640.0,41009.0,1,0
9642.0,40813.0,1,1
9659.0,43696.0,1,0
9671.0,45028.0,1,0
9674.0,45221.0,1,0
9769.0,49538.0,1,0
9772.0,48510.0,0,1
9786.0,55530.0,0,1
9787.0,55464.0,1,0
9788.0,57611.0,0,1
9792.0,49329.0,1,0
9799.0,47028.0,1,0
9812.0,45029.0,0,1
9835.0,44369.0,0,1
9841.0,41933.0,1,0
9842.0,41804.0,0,1
9844.0,41833.0,1,0
9857.0,44046.0,1,0
9876.0,46202.0,1,0
9964.0,47604.0,1,0
9969.0,50336.0,1,0
9972.0,48234.0,0,1
9987.0,55228.0,1,1
9988.0,58247.0,0,1
9992.0,49842.0,1,0
9996.0,48672.0,1,0
10004.0,46812.0,1,0
10006.0,46342.0,0,1
10035.0,44828.0,0,1
10036.0,45001.0,1,0
10041.0,42265.0,1,0
10045.0,42313.0,0,1
10048.0,42629.0,1,0
10066.0,45383.0,1,0
10068.0,45976.0,1,0
10169.0,50305.0,1,0
10172.0,48347.0,0,1
10187.0,55101.0,1,1
10188.0,58575.0,0,1
10192.0,49945.0,1,0
10198.0,48252.0,1,0
10213.0,46322.0,0,1
10219.0,45842.0,1,0
10235.0,45306.0,1,1
10240.0,42599.0,1,0
10246.0,42525.0,0,1
10255.0,44168.0,1,0
10271.0,46222.0,1,0
10283.0,46885.0,1,0
10288.0,47180.0,1,0
10369.0,50169.0,1,0
10372.0,48523.0,0,1
10387.0,53861.0,1,1
10388.0,58990.0,0,1
10392.0,49801.0,1,0
10404.0,47351.0,1,0
10416.0,46358.0,0,1
10425.0,46056.0,1,0
10435.0,45530.0,1,0
10436.0,45208.0,0,1
10440.0,42856.0,1,0
10444.0,42354.0,1,0
10445.0,42421.0,0,1
10450.0,43407.0,1,0
10459.0,44737.0,1,0
10475.0,46625.0,1,0
10565.0,47792.0,1,0
10566.0,46454.0,0,1
10570.0,49375.0,0,1
10573.0,49206.0,0,1
10585.0,54464.0,1,0
10587.0,54165.0,1,1
10588.0,59139.0,0,1
10592.0,49947.0,1,0
10594.0,49458.0,1,0
10609.0,47013.0,1,0
10612.0,46262.0,0,1
10620.0,46009.0,1,0
10636.0,45316.0,0,1
10641.0,42455.0,1,0
10643.0,42176.0,0,1
10645.0,42218.0,1,0
10658.0,44860.0,1,0
10671.0,46280.0,1,0
10682.0,46554.0,1,0
10766.0,46507.0,1,0
10768.0,47132.0,0,1
10785.0,54234.0,1,0
10787.0,54262.0,1,1
10788.0,59049.0,0,1
10792.0,49703.0,1,0
10804.0,47462.0,1,0
