x,Ch1_11
1.0,1683.0
155.0,39237.0
379.0,1664.0
1341.0,1636.0
1346.0,39358.0
1761.0,1616.0
2233.0,16340.0
2274.0,1534.0
8431.0,1554.0
8610.0,9458.0
9200.0,10136.0
9338.0,9639.0
9342.0,12063.0
9366.0,5187.0
9388.0,12777.0
9566.0,5568.0
9586.0,13388.0
9966.0,5381.0
10188.0,13750.0
10366.0,5834.0
10588.0,14194.0
10966.0,5340.0
10988.0,14170.0
11566.0,6207.0
11990.0,14445.0
12168.0,6047.0
12190.0,14393.0
12368.0,5870.0
12390.0,14310.0
12568.0,5427.0
12590.0,14369.0
12968.0,6344.0
13190.0,14507.0
13768.0,5217.0
13790.0,14282.0
13968.0,5439.0
13990.0,14237.0
14568.0,5377.0
14590.0,14189.0
14970.0,5985.0
15192.0,13874.0
15370.0,5404.0
15392.0,13794.0
15770.0,5596.0
15792.0,13736.0
16370.0,5944.0
16392.0,13570.0
16570.0,5049.0
16592.0,13632.0
16970.0,5463.0
17192.0,13681.0
17370.0,5231.0
17592.0,13468.0
17656.0,1535.0
17939.0,12101.0
18177.0,1562.0
18287.0,12309.0
18351.0,1566.0
18461.0,12355.0
18523.0,1516.0
18635.0,12475.0
18697.0,1537.0
18809.0,12483.0
18868.0,1524.0
18983.0,12488.0
19043.0,1542.0
19157.0,12661.0
19395.0,1552.0
19505.0,12840.0
19568.0,1532.0
19678.0,15390.0
19742.0,1512.0
19852.0,15626.0
19866.0,1560.0
20027.0,15439.0
20440.0,1530.0
20441.0,15627.0
20570.0,1532.0
20723.0,15369.0
20741.0,1546.0
21071.0,15301.0
21310.0,1550.0
21419.0,15441.0
21658.0,1560.0
21767.0,15508.0
21832.0,1538.0
21941.0,15407.0
22002.0,1541.0
22007.0,16044.0
22141.0,1516.0
22181.0,15206.0
22702.0,1529.0
22811.0,15501.0
22872.0,1527.0
22985.0,15436.0
23042.0,1524.0
23159.0,15513.0
23213.0,1526.0
23333.0,15478.0
23398.0,1515.0
23507.0,15580.0
23534.0,1537.0
23573.0,14710.0
23919.0,1545.0
24029.0,15435.0
24088.0,1533.0
24203.0,15478.0
24255.0,1530.0
24377.0,15553.0
24788.0,1539.0
24792.0,16595.0
24922.0,1556.0
25247.0,15688.0
25486.0,1541.0
25487.0,16548.0
26007.0,1518.0
26008.0,17770.0
26139.0,1529.0
26182.0,17395.0
26313.0,1533.0
26704.0,17324.0
26835.0,1568.0
27231.0,15833.0
27398.0,1524.0
27400.0,18759.0
27531.0,1556.0
27748.0,17504.0
28096.0,1538.0
28100.0,19622.0
28230.0,1544.0
28272.0,18160.0
28405.0,1540.0
28794.0,17469.0
29140.0,1549.0
29141.0,18602.0
29314.0,1534.0
29316.0,21560.0
29449.0,1560.0
29663.0,19643.0
29798.0,1545.0
